sample_idx,chamfer_distance
531,0.01587055
532,0.01049046
533,0.01456811
534,0.01023547
535,0.01201638
536,0.01024834
537,0.01097623
538,0.01067769
539,0.01558848
540,0.01026697
541,0.01650074
542,0.00971480
543,0.01174812
544,0.01081716
545,0.01378908
546,0.00987832
547,0.00995536
548,0.01004718
549,0.00997312
550,0.00970797
551,0.01015868
552,0.01374557
553,0.01029662
554,0.01013843
555,0.01063280
556,0.01063211
557,0.00987735
558,0.00966523
559,0.00945318
560,0.00978264
561,0.01094292
562,0.01052539
563,0.00987108
564,0.00948623
565,0.01047607
566,0.01191819
567,0.00938120
568,0.01003217
569,0.01095240
570,0.01041906
571,0.01173634
572,0.01016460
573,0.01689329
574,0.01074894
575,0.01085131
576,0.00991156
577,0.01024170
578,0.00974532
579,0.00978033
580,0.00973759
581,0.01056981
582,0.01589241
583,0.01011396
584,0.01121769
585,0.01126540
586,0.01055849
587,0.01588309
588,0.01030977
589,0.01058097
590,0.00949231
591,0.00990107
592,0.00991925
593,0.01104883
594,0.01072118
595,0.01565617
596,0.01044737
597,0.01023741
598,0.00981250
599,0.01067418
600,0.01558938
601,0.01369133
602,0.01502815
603,0.01575029
604,0.01311592
605,0.01597588
606,0.01453479
607,0.01292766
608,0.01625077
609,0.01483854
610,0.01478487
611,0.01399170
612,0.01350087
613,0.01730195
614,0.01358525
615,0.01566341
616,0.01650954
617,0.01392896
618,0.01482576
619,0.01384021
620,0.01502127
621,0.01717923
622,0.01327797
623,0.01524581
624,0.01308716
625,0.01583631
626,0.01372613
627,0.01413483
628,0.01707975
629,0.01535692
630,0.01475523
631,0.01551079
632,0.01315250
633,0.01431832
634,0.02054122
635,0.01919210
636,0.01686674
637,0.01311898
638,0.01714972
639,0.01338516
640,0.01448994
641,0.01350363
642,0.01469345
643,0.01745070
644,0.01320737
645,0.01328050
646,0.01359338
647,0.01545509
648,0.01566223
649,0.01482576
650,0.01337693
651,0.01299751
652,0.01332150
653,0.01399904
654,0.01347352
655,0.01366872
656,0.01958830
657,0.01491507
658,0.01442902
659,0.01605912
660,0.01792125
661,0.01467427
662,0.01331431
663,0.01620403
664,0.01284851
665,0.01498646
666,0.01312374
667,0.01370881
668,0.01327220
669,0.01418823
670,0.01754338
671,0.01698082
672,0.01510431
673,0.01352303
674,0.01635807
675,0.01322053
676,0.01401674
677,0.01396993
678,0.01374725
679,0.01335918
680,0.01363677
681,0.01695211
682,0.01334739
683,0.01313342
