sample_idx,chamfer_distance
1127,0.00405527
1128,0.00390537
1129,0.00394670
1130,0.00399078
1131,0.00407951
1132,0.00393582
1133,0.00406262
1134,0.00397950
1135,0.00392488
1136,0.00392888
1137,0.00409064
1138,0.00386138
1139,0.00383348
1140,0.00387707
1141,0.00386878
1142,0.00388141
1143,0.00387310
1144,0.00388478
1145,0.00390197
1146,0.00393517
1147,0.00395266
1148,0.00367319
1149,0.00390662
1150,0.00392863
1151,0.00385575
1152,0.00404709
1153,0.00403284
1154,0.00388674
1155,0.00390725
1156,0.00376446
1157,0.00396219
1158,0.00393164
1159,0.00385319
1160,0.00392018
1161,0.00386141
1162,0.00379462
1163,0.00394912
1164,0.00405043
1165,0.00380854
1166,0.00402275
1167,0.00388871
1168,0.00378250
1169,0.00408089
1170,0.00386272
1171,0.00382851
1172,0.00394111
1173,0.00394586
1174,0.00383436
1175,0.00385653
1176,0.00368381
1177,0.00399903
1178,0.00376140
1179,0.00390655
1180,0.00384571
1181,0.00386637
1182,0.00392550
1183,0.00363687
1184,0.00385020
1185,0.00374165
1186,0.00392122
1187,0.00400740
1188,0.00392075
1189,0.00410498
1190,0.00386277
1191,0.00380628
1192,0.00392032
1193,0.00390794
1194,0.00376854
1195,0.00381753
1196,0.00383693
1197,0.00364384
1198,0.00382509
1199,0.00380391
1200,0.00346150
1201,0.00374625
1202,0.00363429
1203,0.00357677
1204,0.00371838
1205,0.00370420
1206,0.00353648
1207,0.00366664
1208,0.00370420
1209,0.00363931
1210,0.00368861
1211,0.00369520
1212,0.00364619
1213,0.00391107
1214,0.00360105
1215,0.00362736
1216,0.00352605
1217,0.00367684
1218,0.00356255
1219,0.00363312
1220,0.00357137
1221,0.00362839
1222,0.00360135
1223,0.00360490
1224,0.00379438
1225,0.00378594
1226,0.00378025
1227,0.00360285
1228,0.00351427
1229,0.00356335
1230,0.00370639
1231,0.00368774
1232,0.00358023
1233,0.00368941
1234,0.00369470
1235,0.00352864
1236,0.00364344
1237,0.00354546
1238,0.00384428
1239,0.00365241
1240,0.00379296
1241,0.00361625
1242,0.00367867
1243,0.00353314
1244,0.00379868
1245,0.00354806
1246,0.00362545
1247,0.00352639
1248,0.00350010
1249,0.00369934
1250,0.00363962
1251,0.00369581
1252,0.00358822
1253,0.00370491
1254,0.00345132
1255,0.00372238
1256,0.00366652
1257,0.00369662
1258,0.00380368
1259,0.00359153
1260,0.00359876
1261,0.00347839
1262,0.00377535
1263,0.00373854
1264,0.00377319
1265,0.00369325
1266,0.00363613
1267,0.00359505
1268,0.00356190
1269,0.00396018
1270,0.00382139
1271,0.00373233
1272,0.00376144
1273,0.00360473
1274,0.00369086
1275,0.00374041
1276,0.00357405
1277,0.00354232
1278,0.00361597
1279,0.00372255
1280,0.00370866
1281,0.00368287
1282,0.00376286
1283,0.00353081
1284,0.00370819
1285,0.00378982
1286,0.00365765
1287,0.00355766
1288,0.00376734
1289,0.00370167
1290,0.00374426
1291,0.00359706
1292,0.00353122
1293,0.00365943
1294,0.00366240
1295,0.00357248
1296,0.00377797
1297,0.00363730
1298,0.00377637
1299,0.00378298
1300,0.01191752
1301,0.01286655
1302,0.01200471
1303,0.01168160
1304,0.01206910
1305,0.01219428
1306,0.01203095
1307,0.01173752
1308,0.01221598
1309,0.01278689
1310,0.01259470
1311,0.01249380
